batchId,referringVlLab,drLab,creationDate,referralDate
1,UNHLS,JCRC,7/16/21 8:40,7/16/21
2,UNHLS,UVRI,7/16/21 8:44,7/16/21
3,UNHLS,JCRC,7/19/21 12:57,7/22/21
4,UNHLS,UVRI,7/19/21 12:59,7/22/21
5,UNHLS,UVRI,7/23/21 10:46,7/23/21
6,UNHLS,JCRC,7/23/21 10:47,7/23/21
7,UNHLS,JCRC,7/26/21 6:14,7/27/21
8,UNHLS,JCRC,7/27/21 6:18,7/29/21
9,UNHLS,UVRI,7/27/21 6:19,7/29/21
10,UNHLS,JCRC,8/2/21 13:24,8/12/21
11,UNHLS,UVRI,8/2/21 13:27,8/12/21
13,UNHLS,JCRC,8/16/21 10:27,8/19/21
14,UNHLS,UVRI,8/16/21 10:42,8/19/21
15,Mildmay,JCRC,8/17/21 7:19,8/18/21
16,UNHLS,JCRC,8/20/21 5:03,8/26/21
17,UNHLS,UVRI,8/23/21 8:55,8/26/21
18,UNHLS,JCRC,8/30/21 9:36,9/2/21
19,UNHLS,UVRI,8/30/21 9:37,9/2/21
20,UNHLS,UVRI,9/6/21 8:26,9/16/21
21,UNHLS,JCRC,9/6/21 8:27,9/16/21
22,UNHLS,JCRC,9/29/21 8:14,9/30/21
23,UNHLS,UVRI,9/29/21 8:15,9/30/21
24,Mildmay,UVRI,9/30/21 10:21,9/30/21
25,Mildmay,JCRC,10/1/21 5:52,10/1/21
26,UNHLS,JCRC,10/8/21 7:14,10/14/21
27,UNHLS,UVRI,10/8/21 7:16,10/14/21
28,Mildmay,JCRC,10/12/21 10:48,10/12/21
29,Mildmay,JCRC,10/15/21 6:04,10/15/21
30,UNHLS,JCRC,10/20/21 6:24,10/21/21
31,UNHLS,UVRI,10/20/21 6:51,10/21/21
32,UNHLS,JCRC,10/25/21 10:55,10/28/21
33,UNHLS,UVRI,10/25/21 11:09,10/28/21
34,Mildmay,UVRI,10/28/21 6:09,10/28/21
35,Mildmay,JCRC,10/28/21 13:54,10/28/21
36,Mildmay,JCRC,10/29/21 7:44,10/29/21
37,UNHLS,JCRC,11/1/21 6:09,11/11/21
38,UNHLS,UVRI,11/1/21 8:35,11/11/21
39,Mildmay,JCRC,11/1/21 10:44,11/2/21
40,Mildmay,JCRC,11/12/21 6:26,11/30/21
41,UNHLS,JCRC,11/26/21 7:46,11/30/21
42,UNHLS,UVRI,11/26/21 7:55,11/30/21
43,Mildmay,JCRC,12/1/21 8:41,12/1/21
44,UNHLS,JCRC,12/3/21 6:09,12/3/21
45,UNHLS,UVRI,12/3/21 6:10,12/3/21
